"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"NUMBER_OF_POSITIONS";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PROD_ID";"PURCHASELINK";"SF_SKU";"SPICEPREFIX";"TEXAS_INSTRUMENTS-PURCHASE-URL";"TE_PURCHASE_URL";"VALUE";
"4";"";"C-EUC0805";"C0805";"C1, C2, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";
"1";"";"CRYSTALPTH-HC49UV";"HC49U";"Y1";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"L-EUL2012C";"L2012C";"L1, L3";"INDUCTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"L";"";"";"";
"6";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED2, LED3, LED4, LED5, LED6";"LED";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";"";"";"";"";"";
"1";"";"MOMENTARY-SWITCH-SPST-2-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST - Two Circuits";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-08247";"";"COM-08720";"";"";"";"";
"1";"10k";"R-EU_R0805";"R0805";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";
"1";"1M";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";
"1";"1u";"C-EUC0805";"C0805";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";
"1";"2040002-1";"2040002-1";"TE_2040002-1";"J2";"Conn USB Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R";"Unavailable";".65 mm[.025 in]";"2040002-1";" Conn Micro USB 2.0 Type B RCP 5 POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R ";"";"TE Connectivity";"";"2040002-1";"5";"None";"";"None";"Connector";"";"";"";"";"";"https://www.te.com/usa-en/product-2040002-1.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";"";
"2";"22E";"R-EU_R0805";"R0805";"R4, R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";
"2";"22p";"C-EUC0805";"C0805";"C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"88";"";"";"";"";"";"C";"";"";"";
"1";"32U4";"ATMEGA32U4TQFP-44";"TQFP44";"U$2";"Atmel MCU, 32KByte";"";"";"";"";"";"";"";"";"";"";"";"";"";"IC-11161";"";"";"";"";"";"32U4";
"3";"4K7";"R-EU_R0805";"R0805";"R3, R8, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";
"3";"6K8";"R-EU_R0805";"R0805";"R1, R2, R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"";"R";"";"";"";
"1";"ADS1115IDGSR";"ADS1115IDGSR";"SOP50P490X110-10N";"U4";"Check prices";"Good";"";"";" 16-Bit 860SPS 4-Ch Delta-Sigma ADC With PGA, Oscillator, Vref, Comparator, and I2C 10-VSSOP -40 to 125 ";"https://snapeda.com/shop?store=DigiKey&id=45903";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=45903";"ADS1115IDGSR";"";"VSSOP-10 Texas Instruments";"";"None";"";"";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=45903";"";"";
"1";"AMS1117";"AMS1117";"SOT229P700X180-4N";"U2";"Sot223/Pkg 1-Amp 5-Volt Low Drop Out Voltage Regulatator";"Unavailable";"";"";" UNO PLUS Arduino R3 Shield, Xbee Arduino IDE Wheeled Robotics Kit ";"";"Seeed Technology";"";"AMS1117";"";"SOT-223 Seeed Technology";"";"None";"";"";"";"";"";"";"";"";
"1";"BQ7694003DBT";"BQ7694003DBT";"SOP50P640X120-44N";"U3";"9 to 15-series cell li-ion and li-phosphate battery monitor (bq76940 family) 44-TSSOP -40 to 85  Check prices";"Good";"";"";" 9 to 15-series cell li-ion and li-phosphate battery monitor (bq76940 family) 44-TSSOP -40 to 85 ";"https://snapeda.com/shop?store=DigiKey&id=425582";"Texas Instruments";"https://snapeda.com/shop?store=Mouser&id=425582";"BQ7694003DBT";"";"TSSOP-44 Texas Instruments";"";"None";"";"";"";"";"";"https://snapeda.com/shop?store=Texas+Instruments&id=425582";"";"";
"1";"MAX490ESA+";"MAX490ESA+";"SOIC127P600X175-8N";"U1";"None Check prices";"Warning";"";"";" 1/1 Transceiver Full RS422, RS485 8-SOIC ";"https://snapeda.com/shop?store=DigiKey&id=1237744";"Maxim Integrated";"https://snapeda.com/shop?store=Mouser&id=1237744";"MAX490ESA+";"";"SOIC-8 Maxim";"";"None";"";"";"";"";"";"";"";"";
"2";"MBRS320T3";"MBRS320T3";"SMC";"D1, D2";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";
"1";"S6B-PH-K-S(LF)(SN)";"S6B-PH-K-S(LF)(SN)";"JST_S6B-PH-K-S(LF)(SN)";"J1";"PH Series 6 Position 2 mm Pitch Through Hole Side Entry Shrouded Header";"Unavailable";"";"";" Connector Header Through Hole, Right Angle 6 position 0.079 (2.00mm) ";"";"JST Sales";"";"S6B-PH-K-S (LF)(SN)";"";"None";"";"None";"";"";"https://www.sunrom.com/p/6-pin-jst-ph-20mm-through-hole-header-horizontal-right-angle-side-entry";"";"";"";"";"";
